Provider Approval Number,Service Approval Number,Legal Name,Trading Name,Address,Suburb,State,Postcode,Date Approval Granted,Conditions
PR-00002272,,Redspire Pty Ltd,N/A,13 Old Diamond Creek Rd,DIAMOND CREEK,VIC,3089,29-12-2011,
PR-00002273,,"Rose Accord Pty Ltd, as trustee for the Bill Krstevski Family Trust",,246 Sunshine Avenue,KEALBA,VIC,3021,29-12-2011,
PR-00002274,,Mondo Corporation Pty Ltd,,63-69 McNamara Ave,AIRPORT WEST,VIC,3042,29-12-2011,
PR-00002276,,Russell Court Kindergarten and Childrens' Centre Inc,,10 Russell Ct,ALTONA MEADOWS,VIC,3028,29-12-2011,
PR-00002277,,Dacazh Pty Ltd,,302 Frankston Dandenong Rd,SEAFORD,VIC,3198,29-12-2011,
PR-00002278,,Minnows Childcare Pty. Ltd.,,PO Box 7174,BEAUMARIS,VIC,3193,29-12-2011,
PR-00002281,,Wonderland Childcare and Kindergarten Pty Ltd,,6-10 High St,DONCASTER,VIC,3108,29-12-2011,
PR-00002282,,Little Sophia Inc,,35-37 Abbotsford St,ABBOTSFORD,VIC,3067,29-12-2011,
PR-00002283,,Little People (Vic) Pty Ltd T/AS Long Island Early Learning Centre,,PO Box 167,BAXTER,VIC,3911,29-12-2011,
PR-00002284,,Diako Pty Ltd,,876 Waverley Rd,WHEELERS HILL,VIC,3150,29-12-2011,
PR-00002286,,Investwell Property Services Pty Ltd,,U 301  21 Bourke St,RINGWOOD,VIC,3134,29-12-2011,
PR-00002288,,N and MJ Chamberlain Pty Ltd,,99A Tulip Street,CHELTENHAM,VIC,3192,29-12-2011,
PR-00002289,,3 Apples Childcare Centre Pty Ltd,,11 Olympiad Cres,BOX HILL NORTH,VIC,3129,29-12-2011,
PR-00002294,,Kidz 'N Co Pty Ltd,,64 Dawson St,BAIRNSDALE,VIC,3875,29-12-2011,
PR-00002295,,Bestin Developments Pty Ltd,,29 Walker Street,DONCASTER,VIC,3108,29-12-2011,
PR-00002296,,Sangeeta Pty Ltd,,54 Malanie Crescent,NARRE WARREN NORTH,VIC,3804,29-12-2011,
PR-00002298,,CNJL Cooper Holdings Pty Limited,,20 Banyalla Place,ROWVILLE,VIC,3178,29-12-2011,
PR-00002299,,Educare Victoria Pty Ltd,,604 Waverley Road,GLEN WAVERLEY,VIC,3150,29-12-2011,
PR-00002300,,Brept p/l  ATF The Bemco Trust,,PO Box 616,ROSANNA,VIC,3084,29-12-2011,
PR-00002302,,Seventh Day Adventist Schools (Victoria) Limited,,PO Box 215,NUNAWADING,VIC,3131,29-12-2011,
PR-00002303,,Caroline Springs College,,PO Box 3300,CAROLINE SPRINGS,VIC,3023,29-12-2011,
PR-00002305,,Melbourne Girls Grammar - an Anglican School,,86 Anderson Street,SOUTH YARRA,VIC,3141,29-12-2011,
PR-00002306,,Coolaroo South Primary School Council,,Bushfield Crescent,COOLAROO,VIC,3048,29-12-2011,
PR-00002308,,Bonkers Beat Aspendale Pty Ltd,,49 Laura Street,ASPENDALE,VIC,3195,29-12-2011,
PR-00002309,,Ararat North Primary School,,PO Box 120,ARARAT,VIC,3377,29-12-2011,
PR-00002310,,Kathy Lloyd Pty Ltd as Trustee for the Kathy Lloyd Family Trust,,2 Stirling Drive,WENDOUREE,VIC,3355,26-04-2012,
PR-00002311,,Aurora School Council,,96 Holland Road,BLACKBURN SOUTH,VIC,3130,29-12-2011,
PR-00002315,,In Loco Parentis PTY LTD ATF the In Loco Parentis Trust,,PO Box 1965,MELBOURNE,VIC,3001,29-12-2011,
PR-00002321,,Lonsdale House Childcare Pty Ltd as Trustee of the Lonsdale House Childcare Trust,,"2 Old Geelong rd, Street Address Line 2",POINT LONSDALE,VIC,3225,29-12-2011,
PR-00002322,,Tumblin Pty Ltd,,PO Box 577,BERWICK,VIC,3806,29-12-2011,
PR-00002323,,Pakenham Childcare on McGregor Pty Ltd,,11-13 Wakenshaw Cescent,PAKENHAM,VIC,3810,29-12-2011,
PR-00002324,,Cooinda Early Learning Centres P/L,,19 Bent Street,WESTMEADOWS,VIC,3049,29-12-2011,
PR-00002325,,Sirius College,,PO Box 49,DALLAS,VIC,3047,29-12-2011,
PR-00002326,,MACE Inc,,10 Davies St,MANSFIELD,VIC,3722,29-12-2011,
PR-00002329,,C & G Gordon Pty Ltd ATF The Gordon Family Trust,,"40 Lawless Road, Hazelwood South Via",MORWELL,VIC,3840,29-12-2011,
PR-00002331,,Young Mens Christian Association Whittlesea Inc,,"25,  797 Plenty Rd",SOUTH MORANG,VIC,3752,29-12-2011,
PR-00002332,,Fun 4 Kids Early Learning Centre Pty Ltd,,239 High Street,HASTINGS,VIC,3915,29-12-2011,
PR-00002333,,Monalisa Nominees Pty Ltd ATF The Zahra Family Trust,,102 McPherson Bvd,ROXBURGH PARK,VIC,3064,29-12-2011,
PR-00002334,,MB & SD Jeffrey,,100 Fowlers Rd,ELLINBANK,VIC,3821,29-12-2011,
PR-00002336,,Maurbre PTY. LTD. As Trustee For King Family Trust.,,PO Box 132,SEVILLE,VIC,3139,29-12-2011,
PR-00002338,,St George Property Group Pty Ltd,,66 Brentwick Dr,GREENSBOROUGH,VIC,3088,29-12-2011,
PR-00002340,,Crystal Child (Vic) Pty Ltd ATF Crystal Child Investment Trust,,58 Stockdale Way,MILL PARK,VIC,3082,29-12-2011,
PR-00002342,,Lavers Hill P-12 College Council trading as Lavers Hill P-12 College,,5 College Drive,LAVERS HILL,VIC,3238,29-12-2011,
PR-00002344,,Sinko Holdings Pty Ltd,,PO Box 71,CHIRNSIDE PARK,VIC,3116,29-12-2011,
PR-00002346,,Royal Melbourne Institute of Technology,,"Building 96, 17-25 Lygon St",CARLTON,VIC,3053,29-12-2011,
PR-00002347,,Dimax Pty Ltd,,130 Marshall Street,IVANHOE,VIC,3079,29-12-2011,
PR-00002348,,The Trustee for 4Kids Family Trust,123KIDS Pty Ltd,88 Lyndhurst Street,RICHMOND,VIC,3121,29-12-2011,
PR-00002350,,Arkoudaki Enterprises Pty Ltd (ATF the M & D Moses Family Trust),,PO Box 429,COBURG,VIC,3058,29-12-2011,
PR-00002352,,Echelon Early Learning and Education Centres Pty Ltd,,PO Box 497,SOUTH MORANG,VIC,3752,29-12-2011,
PR-00002353,,Malaambe Pty Ltd,,PO Box 4217,BURWOOD EAST,VIC,3151,29-12-2011,"•	The Approved Provider must ensure that the person in management and control, Amanda Bergh, attends and completes professional development approved by the Regulatory Authority on Service Management and Leadership by 30 June 2013 and provides documentary evidence to the department within 10 working days of completion.
•	The Approved Provider must arrange for all educators and staff members who are appointed or engaged or employed at services operated by them to attend an educative session on the National Quality Framework delivered by Regional Authorised Officers of the Regulatory Authority by no later than 28 February 2013."
PR-00002355,,Brandaige Pty Ltd,,2 - 4 Dorning Road,NARRE WARREN EAST,VIC,3804,29-12-2011,
PR-00002356,,Centrell Pty Ltd ATF MC Pyle Investment Trust,,PO Box 877,WANGARATTA,VIC,3676,29-12-2011,
PR-00002357,,Star Care (Vic) Pty Ltd ATF Bardan Family Trust,,42 Main Street,THOMASTOWN,VIC,3074,29-12-2011,
PR-00002358,,S D & L A Scanlon ATF The Scanlon Family Trust,,43 Highland Avenue,CROYDON,VIC,3136,29-12-2011,
PR-00002359,,Kangaroo Ground Pre-school Inc,,PO Box 66,KANGAROO GROUND,VIC,3097,29-12-2011,
PR-00002360,,Beaconhills Christian College Ltd,,30 - 34 Toomuc Valley Road,PAKENHAM,VIC,3810,29-12-2011,
PR-00002364,,Kekeco Childcare Pty Ltd,,8 Darling St,EAST MELBOURNE,VIC,3002,29-12-2011,
PR-00002365,,Bryson Management Pty Ltd,,3 Levida Dr,CARRUM DOWNS,VIC,3201,29-12-2011,
PR-00002366,,Sanctuary Lakes Resort Child Care Centre Pty Ltd ATF Sanctuary Lakes Resort Child Care Centre Unit Trust,,88 Greg Norman Drive,SANCTUARY LAKES,VIC,3030,29-12-2011,
PR-00002367,,Cheeriokids Pty. Ltd. as Trustee of the Turen Family Trust,,20 Sunderland Rise,GREENSBOROUGH,VIC,3088,29-12-2011,
PR-00002368,,A 2 Z Childcare Pty Ltd,,97A - 101 Hargreaves Crescent,BRAYBROOK,VIC,3019,29-12-2011,
PR-00002369,,Early Learning Kinders (Hillside) Pty Ltd ATF Loccisano Unit Trust,,181 Arundel Rd,KEILOR,VIC,3036,29-12-2011,
PR-00002370,,Richdoc Pty Ltd ATF Geethom Unit Trust,Kids on Clyde,8 Lockwood Rd,BELGRAVE HEIGHTS,VIC,3160,29-12-2011,
PR-00002371,,Malin Friends Pty Ltd,,c/o 5 Citrus Court,DONCASTER,VIC,3108,29-12-2011,
PR-00002372,,Childrens Garden Kindercare Pty Ltd,,45 Ferrars Pl,SOUTH MELBOURNE,VIC,3205,29-12-2011,
PR-00002373,,Educational Child Care Services Pty Ltd,,55 Caradon Drive,TRUGANINA,VIC,3029,29-12-2011,
PR-00002375,,ENT Nominees P/L for the ENT Trust Trading as Bright Steps Educational Childcare & Kindergarten,,PO Box 693,WILLIAMSTOWN,VIC,3016,29-12-2011,
PR-00002376,,Matrix Early Learning Pty Ltd ATF the Matrix Early Learning Unit Trust,,1218-1220 Sydney Rd,FAWKNER,VIC,3060,29-12-2011,
PR-00002377,,Developmental Learning Centre Rainbow Pty Ltd,,43 Kinane St,BRIGHTON,VIC,3186,29-12-2011,
PR-00002378,,Kids on Tulip Pty Ltd ATF Ferguson Family Trust 2,,111 Tulip Street,SANDRINGHAM,VIC,3191,29-12-2011,
PR-00002380,,MONBULK PRIMARY SCHOOL,,PO Box 375,MONBULK,VIC,3793,29-12-2011,
PR-00002381,,Privilege (Aust) P/L ATF The Rising Star Trust,,32 Aylmer Street,BALWYN NORTH,VIC,3104,29-12-2011,
PR-00002382,,Robinvale District Health Services,,PO Box 376,ROBINVALE,VIC,3549,29-12-2011,
PR-00002383,,P Illesinghe & M Illesinghe ATF the M & P Illesinghe Family Trust,,19 Tara Close,ROWVILLE,VIC,3178,29-12-2011,
PR-00002386,,Vermont Primary School Council,,10 Nurlendi Road,VERMONT,VIC,3133,29-12-2011,
PR-00002387,,Franksea Pty Ltd Trading as Jigsaw Childcare,,185 Phoenix Street,SUNSHINE NORTH,VIC,3020,29-12-2011,
PR-00002389,,The Young Men's Christian Association of Ararat Inc,,87 D'Arcy St,STAWELL,VIC,3380,29-12-2011,
PR-00002391,,Edenlilly Pty Ltd,,72 Exford Dr,MORNINGTON,VIC,3931,29-12-2011,
PR-00002392,,Tasier Pty Ltd atf The Xenidis Business Trust,,48 Grenfell Road,MOUNT WAVERLEY,VIC,3149,29-12-2011,
PR-00002396,,West Wimmera Shire Council,,PO Box 201,EDENHOPE,VIC,3318,29-12-2011,
PR-00002397,,"Little Alberts Childcare PTY LTD, as Trustee for The Little Alberts Childcare Unit Trust",,166 Albert Avenue,BORONIA,VIC,3155,29-12-2011,
PR-00002399,,Russrobin Pty Ltd,,59 hall road,CARRUM DOWNS,VIC,3201,29-12-2011,
PR-00002401,,Royal Womens Hospital,,"Royal Womens Hospital, 20 Flemington Rd",PARKVILLE,VIC,3052,29-12-2011,
PR-00002404,,Kardinia Childcare Inc,,PO Box 5141,GEELONG NORTH,VIC,3215,29-12-2011,
PR-00002405,,Piccolo CC Pty Ltd ATF Piccolo CC Trust and Grande Lyon Pty Ltd ATF KL Unit Trust,,2 David Drive,SUNSHINE WEST,VIC,3020,29-12-2011,
PR-00002406,,Kids Paradise Childcare Pty Ltd  ATF The Kids Paradise Child Care Trust,,2 - 6 Fulmar St,CARRUM DOWNS,VIC,3201,29-12-2011,
PR-00002409,,Grace Children Services Pty Ltd,,19 Glencoe Street,CAULFIELD,VIC,3162,29-12-2011,
PR-00002410,,Maryand Holdings Pty Ltd,,6 Huxtable Street,MOUNT WAVERLEY,VIC,3149,29-12-2011,
PR-00002411,,The Leith Company Pty Ltd,,PO Box 109,CASTLEMAINE,VIC,3450,29-12-2011,
PR-00002412,,Buckle My Shoe Terang Pty Ltd,,8 The Parade,TERANG,VIC,3264,29-12-2011,
PR-00002413,,Bentons Square Community Centre Inc,,PO Box 3613 Bentons Square,MORNINGTON,VIC,3931,29-12-2011,
PR-00002414,,Future Kids Pty Ltd As Trustee For Future Kids Unit Trust,Future Kids,Unit 3B 190 Bourke Street,MELBOURNE,VIC,3000,29-12-2011,
PR-00002415,,Gloryland Learning Centre Pty Ltd,,952-954 Doncaster Road,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00002420,,A/S&S @ Cafeclassico Pty Ltd,,421-423 Dorset Road,CROYDON,VIC,3136,29-12-2011,
PR-00002421,,CC4K Pty Ltd ATF Sim & Nguyen Unit Trust,,3A Penderel Way,BULLEEN,VIC,3105,29-12-2011,
PR-00002422,,The Body Shop Children's Centre Pty Ltd,,Cnr Wellington & Jacksons Rd,MULGRAVE,VIC,3170,29-12-2011,
PR-00002425,,Burwood Heights Primary School Council,,Cnr Hawthorn and Mahoneys Roads,BURWOOD EAST,VIC,3151,29-12-2011,
PR-00002426,,ETPM PTY LTD,,7 Queen Street,FRANKSTON,VIC,3199,29-12-2011,
PR-00002427,,Georgia Kate Fleming/Rebecca Lee Perry,,76 Bostock Street,WARRNAMBOOL,VIC,3280,29-12-2011,
PR-00002428,,Mrs Aglaia Elli Kapiniaris,,98 Cromer Road,BEAUMARIS,VIC,3193,29-12-2011,
PR-00002429,,Kenji Pty Ltd,,36-38 Grimwade Crescent,FRANKSTON,VIC,3199,29-12-2011,
PR-00002431,,Community Children Pty Ltd ATF Community Children Unit Trust,,16 Coghlan Street,NIDDRIE,VIC,3042,29-12-2011,
PR-00002432,,Horton Nominees Pty Ltd,,64 Cruikshank Street,PORT MELBOURNE,VIC,3207,29-12-2011,
PR-00002434,,Country Buddies Pty Ltd,,PO BOX 89,GISBORNE,VIC,3437,29-12-2011,
PR-00002435,,Piccolo's Accelerated Early Learning Pty Ltd,,118 Overport Road,FRANKSTON SOUTH,VIC,3199,29-12-2011,
PR-00002437,,Snuggles Early Learning Centre Pty Ltd ATF Snuggles Early Learning Centre Unit Trust,,18 Kitchener Street,BOX HILL SOUTH,VIC,3128,29-12-2011,
PR-00002438,,Shine Child Care Pty Ltd,,1222 Centre Road,CLARINDA,VIC,3169,29-12-2011,"Prior to any amendment to the deed between Ivan Egan Nominees Pty Ltd ACN 132 010 247 as trustee of the Ivan Egan Family Trust, Warren Slabe as trustee of the Budin Slabe Family Trust, Shine Child Care Pty Ltd ACN 132 219 357, Warren Slabe, Stacey Slabe, Jason Ivanecky and Sarah Egan dated 3 October 2008 or any change to the arrangements described in the recitals to that deed, the approved provider must first provide the Regulatory Authority with reasonable notice of that proposed amendment or change."
PR-00002439,,Jomar Officer Pty Ltd as trustee for the Jomar Verschaeren Family Trust,,PO Box 22,OFFICER,VIC,3809,29-12-2011,
PR-00002440,,Lilydale Children Pty Ltd,,35 Cave Hill Road,LILYDALE,VIC,3140,29-12-2011,
PR-00002441,,DARUL ULUM COLLEGE OF VICTORIA,,PO Box 130,FAWKNER,VIC,3060,29-12-2011,
PR-00002444,,Magic Garden Childcare Centre Pty Ltd as Trustee for the MacKenzie Family Trust,,7 Austral Ave,UPWEY,VIC,3158,29-12-2011,
PR-00002448,,I E L C Pty Ltd,,76 Victoria St,WILLIAMSTOWN,VIC,3016,29-12-2011,
PR-00002449,,Aleron Childcare Pty Ltd ATF Aleron Family Trust,,7 Staughton Road,GLEN IRIS,VIC,3146,29-12-2011,
PR-00002450,,The Cottage Care Centre Monbulk Pty Ltd,,U 5  58-60 Peel St,BERWICK,VIC,3806,29-12-2011,
PR-00002451,,Heathmont Child Care Pty Ltd,,40 Marlborough Road,HEATHMONT EAST,VIC,3135,29-12-2011,
PR-00002453,,S & K L Butler Pty Ltd,,4 Scott St,MACEDON,VIC,3440,29-12-2011,
PR-00002454,,Davmat Investments Pty Ltd,,15A Meeking Drive,PAKENHAM,VIC,3810,29-12-2011,
PR-00002455,,Good Shepherd Australia New Zealand,,1 Church Street,HASTINGS,VIC,3915,29-12-2011,
PR-00002456,,Carnbeau Pty Ltd ATF Carnbeau Family Trust,,21 Crosbie Road,MURRUMBEENA,VIC,3163,29-12-2011,
PR-00002460,,R.J.T. & Associates Pty Ltd trading as Red Apple Early Learning Centre,,129 Waverley Road,MALVERN EAST,VIC,3145,29-12-2011,
PR-00002461,,Balmoral K-12 Community College,,Harrow Road,BALMORAL,VIC,3407,29-12-2011,
PR-00002462,,C & N Investments No. 1 Pty Ltd,,U 9  197 Waverley Rd,MALVERN EAST,VIC,3145,29-12-2011,
PR-00002463,,Nimjem Pty Ltd as Trustee for The Chamberlain Family Trust,,99A Tulip Street,CHELTENHAM,VIC,3192,29-12-2011,
PR-00002464,,City of Whittlesea,,25 Ferres Bvd,SOUTH MORANG,VIC,3752,29-12-2011,
PR-00002465,,Beis Menachem Community Centre Inc,,13 - 17 Cecil St,BENTLEIGH EAST,VIC,3165,29-12-2011,
PR-00002467,,Maidstone Children Pty Ltd,,3 Delft Place,PAKENHAM,VIC,3810,29-12-2011,
PR-00002468,,BAMBINI JUNIORS PTY LTD,,20B Armstrong Street,MIDDLE PARK,VIC,3206,29-12-2011,
PR-00002469,,Just Kids (Aust) Pty Ltd,,PO Box 947,SUNBURY,VIC,3429,16-04-2012,
PR-00002471,,Sidco 25 Pty Ltd,,7 Browning Crescent,AVONDALE HEIGHTS,VIC,3034,29-12-2011,
PR-00002472,,Puopolo Nominees Pty Ltd ATF Puopolo Unit Trust,,222 Normanby Road,SOUTHBANK,VIC,3006,29-12-2011,
PR-00002473,,Smiling Children Pty Ltd ATF Smiling Children Unit Trust,,553 Yan Yean Road,YARRAMBAT,VIC,3091,29-12-2011,
PR-00002474,,Karsam Pty Ltd,,67 Bay Rd,MOUNT MARTHA,VIC,3934,29-12-2011,
PR-00002475,,Alsad Pty Ltd,,PO Box 205,ESSENDON NORTH,VIC,3041,29-12-2011,
PR-00002478,,Springvale Service For Children Inc,,PO Box 305,SPRINGVALE,VIC,3171,29-12-2011,
PR-00002479,,Endeavour Hills Children Pty Ltd,,53 Heatherton Road,ENDEAVOUR HILLS,VIC,3802,29-12-2011,
PR-00002481,,Mykidz Early Learning Centre Pty Ltd,,"81 George street, 10 Arnold Drive Donvale  vic 3111",DONCASTER EAST,VIC,3109,29-12-2011,
PR-00002482,,C&N Investments No2 Pty Ltd,,76 River Street,SOUTH YARRA,VIC,3141,29-12-2011,
PR-00002483,,Little Poppets Childcare Pty Ltd,,15 Roadhouse Wynd,SYDENHAM,VIC,3037,29-12-2011,
PR-00002488,,BP Global Pty Ltd,,6-10 High St,DONCASTER,VIC,3108,29-12-2011,
PR-00002489,,J.P. Traynor and E.V. Whitelaw Partnership,,65 Jesmond Road,CROYDON,VIC,3136,29-12-2011,
PR-00002490,,Lucantonio Nominees Pty Ltd,,90 Neill Street,CARLTON,VIC,3053,29-12-2011,
PR-00002492,,First Learnings St Kilda East Pty Ltd,,298 Kooyong Road,CAULFIELD,VIC,3162,29-12-2011,
PR-00002497,,Coco's Early Learning Centre P/L,,14 Burrindi Rd,CAULFIELD SOUTH,VIC,3162,29-12-2011,
PR-00002500,,AL & SW Pty Ltd ATF McNutt Family Trust and LP & JW Pty Ltd ATF McNeil Family,Little Scooters Pty Ltd,PO Box 1108,RESEARCH,VIC,3095,29-12-2011,
PR-00002501,,Delsouth Corporation Pty Ltd  As Trustee For Delsouth Unit Trust,,253 Wattletree Road,MALVERN,VIC,3144,29-12-2011,
PR-00002502,,Young Mens Christian Association Of Ballarat Inc,BALLARAT AND DISTRICT YMCA,25-39 Barkly Street,BALLARAT,VIC,3350,29-12-2011,
PR-00002504,,Ballarat Child Minding Centre Pty Ltd,,257 Victoria Street,BALLARAT,VIC,3350,29-12-2011,
PR-00002505,,Yuvam Australia Pty Ltd ATF Yuvam Australia Pty Ltd Unit Trust,,48 Phillips Street,COBURG,VIC,3058,29-12-2011,
PR-00002506,,Kiddy Palace Learning Centre Pty Ltd,,134-136 McDonalds Road,EPPING,VIC,3076,29-12-2011,
PR-00002510,,Endeavour Hills Early Learning Centre Pty Ltd,,23 Ambiance Crescent,NARRE WARREN SOUTH,VIC,3805,29-12-2011,
PR-00002512,,East Gippsland Shire Council,,PO Box 1618,BAIRNSDALE,VIC,3875,29-12-2011,
PR-00002515,,Shubh Enterprises Pty Ltd,,8 Habitat Park Drive,DONCASTER EAST,VIC,3109,29-12-2011,
PR-00002517,,Strathmerton Primary School Council,Strathmerton Primary School Council,Findlay Street,STRATHMERTON,VIC,3641,29-12-2011,
PR-00002518,,Smigal PTY LTD,,7 Grey Street,VERMONT,VIC,3133,29-12-2011,
PR-00002525,,Hodan Youssouf,,25 Bronzewing St,WILLIAMS LANDING,VIC,3027,29-12-2011,
PR-00002527,,Walker Street Community Kindergarten,,89 Walker Street,CLIFTON HILL,VIC,3068,29-12-2011,
PR-00002529,,Mel's Angels Pty Ltd,,10 Canterbury Close,ROWVILLE,VIC,3178,29-12-2011,
PR-00002530,,Extend (Australia) Pty Ltd,,"Tower 3, Level 7, 18-38 Siddeley st",DOCKLANDS,VIC,3008,29-12-2011,
PR-00002535,,Karen Marie Donders,,113 Bailey Road,MT EVELYN,VIC,3796,29-12-2011,
PR-00002536,,Azaria Family Day Care Pty Ltd,,9/32 East Esplanade,ST ALBANS,VIC,3021,29-12-2011,
PR-00002539,,Camp Australia Pty Limited,,Level 1  207 Waverley Rd,MALVERN EAST,VIC,3145,14-05-2012,
PR-00002540,,Phillippa Anne Preston and Victoria Louise Chapman Partners,,18-20 Fleet Street,MORNINGTON,VIC,3931,29-12-2011,
PR-00002541,,Little Bee Enterprises Pty Ltd ATF The Alexander Moses Family Trust,,PO Box 429,COBURG,VIC,3058,29-12-2011,
PR-00002542,,Wildwood Park Holdings Pty Ltd,,2-8 Windsor Dr,BEACONSFIELD,VIC,3807,29-12-2011,
PR-00002544,,Carol Savage,,"c/- School Support Services, 59 Woolondoon Drive",HIGHTON,VIC,3216,29-12-2011,
PR-00002545,,Anne Soding-Gay,,PO Box 20,WOORI YALLOCK,VIC,3139,29-12-2011,
PR-00002547,,YMCA Victoria,,582 Heidelberg Road,FAIRFIELD,VIC,3078,29-12-2011,
PR-00002548,,Clayamber PTY LTD as Trustee of the McManus Trust,,27 Andrews Lane,NAPOLEONS,VIC,3352,29-12-2011,
PR-00002549,,Clarke Childcare Group Pty Ltd ATF Clarke Childcare Group Unit Trust,Little Patch ELC,PO Box 2108,WATTLETREE ROAD POST OFFICE,VIC,3145,29-12-2011,
PR-00002550,,TC Geelong Pty Ltd ATF TCG Unit Trust,,53-57 Church Street,GEELONG WEST,VIC,3218,29-12-2011,
PR-00002551,,Melbourne City School,,PO Box 40,ELTHAM,VIC,3095,29-12-2011,
PR-00002553,,Little Acorns Childcare Pty Ltd,,231 Frankston - Flinders Road,FRANKSTON,VIC,3199,29-12-2011,
PR-00002554,,Nabih Merhi and Elssy Mehri and Jennifer Sutherland,,46 Robin Dr,CARRUM DOWNS,VIC,3201,29-12-2011,
PR-00002558,,Cranbourne-Carlisle Primary School,,"Cranbourne Carlisle Primary SC, 15 Silky Oak Dr",CRANBOURNE,VIC,3977,29-12-2011,
PR-00002561,,Nickis Clever Cookies Pty Ltd,,57 Cunningham Street,NORTHCOTE,VIC,3070,29-12-2011,
PR-00002563,,Grange Road Childcare Nominees Pty Ltd ATF Grange Road Childcare Trust trading as Smart Start Early Learning and Development Centre,,18-24 Grange Road,ALPHINGTON,VIC,3078,29-12-2011,
PR-00002566,,Quadunite P/L ATF The Russell Property Unit Trust,,"c/o Pooh Bear's House, 323 Maroondah Highway",CROYDON,VIC,3136,29-12-2011,
PR-00002568,,Kids Time Early Learning Centre PTY LTD ATF Kids Time Trust,,14 Burrindi Rd,CAULFIELD SOUTH,VIC,3162,29-12-2011,
PR-00002569,,St Mary A.C.M Pty Ltd ATF Mikhail Discretionary Trust,,5-7 Pecks Rd,SYDENHAM,VIC,3037,29-12-2011,
PR-00002570,,Roslyn Primary School School Council,,PO Box 292,BELMONT,VIC,3216,29-12-2011,
PR-00002571,,Kids Paradise McClelland Drive Pty Ltd,,452 McClelland Drive,LANGWARRIN,VIC,3910,29-12-2011,
PR-00002572,,Kids Paradise Long Street Pty Ltd,,1 Long St,LANGWARRIN,VIC,3910,29-12-2011,
PR-00002573,,Roads Corporation (Trading as Vic Roads),,60 Denmark Street,KEW,VIC,3101,29-12-2011,
PR-00002575,,Judith Huang,,34 Morton St,CLAYTON,VIC,3168,29-12-2011,
PR-00002576,,Kharisma Kids Pty Ltd,,16 Cerulean Dr,OFFICER,VIC,3809,29-12-2011,
PR-00002577,,Casey City Church Inc,,PO BOX 2213,FOUNTAIN GATE,VIC,3805,29-12-2011,
PR-00002578,,Mansfield Primary School Council,,PO Box 401,MANSFIELD,VIC,3722,29-12-2011,
PR-00002583,,Grow 'n' Learn Pty Ltd,,4 Watersedge Cove,POINT COOK,VIC,3030,29-12-2011,
PR-00002585,,Darl Enterprises Pty Ltd,,85 Princes Highway,WERRIBEE,VIC,3030,29-12-2011,
PR-00002588,,St John's Parish OSHC,,MacKillop Centre 16 Tocumwal Road,NUMURKAH,VIC,3636,29-12-2011,
PR-00002590,,WTM Holdings PTY LTD,,1 Darvall St,TOOTGAROOK,VIC,3941,29-12-2011,
PR-00002591,,Sooyeon Lim,,16 Portland Pl,WATERWAYS,VIC,3195,29-12-2011,
PR-00002592,,Janet Egglestone,,PO BOX 67,DROMANA,VIC,3936,29-12-2011,
PR-00002594,,Loni Education Pty Ltd,,4 Castro Way,DERRIMUT,VIC,3026,29-12-2011,
PR-00002595,,Drouin South Primary School Council,,PO Box 127,DROUIN,VIC,3818,29-12-2011,
PR-00002596,,Buln Buln Primary School Council,,15 Old Sale Road,BULN BULN,VIC,3821,29-12-2011,
PR-00002597,,Dorraine Pty Ltd,,3028 Midland Highway,LIMA SOUTH,VIC,3673,29-12-2011,
PR-00002599,,Koenig Investments P/L,,9 View Rd,GLEN WAVERLEY,VIC,3150,29-12-2011,
PR-00002600,,KW 5 Star Kids Services Pty Ltd,,PO Box 1415,EPPING,VIC,3076,29-12-2011,
PR-00002601,,St Gerard's Parish,,PO Box 2631,DANDENONG,VIC,3175,29-12-2011,
PR-00002603,,Drouin West Primary School Council,,PO Box 176,DROUIN WEST,VIC,3818,29-12-2011,
PR-00002604,,Greensborough Early Learning Centre and Kindergarten Pty Ltd ATF GAUR FAMILY TRUST,,"246 Harvest Home Road, WOLLERT, VIC, 3750.",WOLLERT,VIC,3750,29-12-2011,
PR-00002605,,Longwarry Primary School Council,,5 McCrae Street,LONGWARRY,VIC,3816,29-12-2011,
PR-00002610,,Mnasa Pty Ltd,,U 22  797 Plenty Rd,SOUTH MORANG,VIC,3752,29-12-2011,
PR-00002612,,QMC Pty Ltd,,PO Box 879,TORQUAY,VIC,3228,29-12-2011,
PR-00002614,,Al-ishraaq Pty Ltd ATF Ahsan's Family Trust,,6 Purley Ct,HILLSIDE,VIC,3037,29-12-2011,
PR-00002615,,Scotia Australia P/L,,153 Montague Street,SOUTH MELBOURNE,VIC,3205,29-12-2011,
PR-00002616,,Guthrie Street Primary After School Care Program,,Guthrie Street,SHEPPARTON,VIC,3630,29-12-2011,
PR-00002617,,Jubilee Children's Park Inc,,20 Reservoir Road,FRANKSTON,VIC,3199,29-12-2011,
PR-00002619,,Little Assets WTC Pty Ltd,,"Level 3, Tower 4, 18 - 38 Siddeley Street",MELBOURNE,VIC,3005,29-12-2011,
PR-00002620,,Orbost Cluster of Schools Outside of School Hours Care,Orbost Cluster of Schools Outside of School Hours Care,10 Ruskin Street,ORBOST,VIC,3888,29-12-2011,
PR-00002623,,Eastbourne Primary School,,Allambi Ave,ROSEBUD WEST,VIC,3940,29-12-2011,
